first_seen_utc,date,home,away,venue,total
2026-08-11T22:48:45Z,2026-08-12,Minnesota Twins,Baltimore Orioles,Target Field,8.5
2026-08-11T22:48:45Z,2026-08-12,St. Louis Cardinals,Philadelphia Phillies,Busch Stadium,8.5
2026-08-11T22:48:45Z,2026-08-12,Athletics,Tampa Bay Rays,Sutter Health Park,10.5
2026-08-11T22:48:45Z,2026-08-12,San Francisco Giants,Houston Astros,Oracle Park,8.0
2026-08-11T22:48:45Z,2026-08-12,Detroit Tigers,Cleveland Guardians,Comerica Park,8.0
2026-08-11T22:48:45Z,2026-08-12,New York Yankees,Seattle Mariners,Yankee Stadium,8.5
2026-08-11T22:48:45Z,2026-08-12,Toronto Blue Jays,Boston Red Sox,Rogers Centre,7.5
2026-08-11T22:48:45Z,2026-08-12,Atlanta Braves,New York Mets,Truist Park,8.5
2026-08-11T22:48:45Z,2026-08-12,Chicago White Sox,Cincinnati Reds,Guaranteed Rate Field,9.0
2026-08-12T10:54:00Z,2026-08-12,Washington Nationals,Chicago Cubs,Nationals Park,9.5
2026-08-12T10:54:00Z,2026-08-12,Los Angeles Dodgers,Kansas City Royals,Dodger Stadium,9.25
2026-08-12T10:54:00Z,2026-08-12,Los Angeles Angels,Texas Rangers,Angel Stadium,9.5
2026-08-12T22:45:35Z,2026-08-13,Detroit Tigers,Cleveland Guardians,Comerica Park,8.5
2026-08-12T22:45:35Z,2026-08-13,New York Yankees,Seattle Mariners,Yankee Stadium,8.0
2026-08-12T22:45:35Z,2026-08-13,Chicago White Sox,Cincinnati Reds,Guaranteed Rate Field,8.5
2026-08-12T22:45:35Z,2026-08-13,Toronto Blue Jays,Boston Red Sox,Rogers Centre,8.0
2026-08-12T22:45:35Z,2026-08-13,Washington Nationals,Chicago Cubs,Nationals Park,8.5
2026-08-12T22:45:35Z,2026-08-13,Los Angeles Dodgers,Milwaukee Brewers,Dodger Stadium,8.5
2026-08-13T10:55:22Z,2026-08-13,Los Angeles Angels,Texas Rangers,Angel Stadium,8.0
2026-08-13T22:47:43Z,2026-08-14,Chicago Cubs,St. Louis Cardinals,Wrigley Field,8.0
2026-08-13T22:47:43Z,2026-08-14,Cincinnati Reds,Miami Marlins,Great American Ball Park,7.75
2026-08-13T22:47:43Z,2026-08-14,Pittsburgh Pirates,Boston Red Sox,PNC Park,8.0
2026-08-13T22:47:43Z,2026-08-14,New York Mets,Washington Nationals,Citi Field,8.5
2026-08-13T22:47:43Z,2026-08-14,Cleveland Guardians,San Diego Padres,Progressive Field,7.5
2026-08-13T22:47:43Z,2026-08-14,Toronto Blue Jays,New York Yankees,Rogers Centre,8.0
2026-08-13T22:47:43Z,2026-08-14,Los Angeles Angels,Kansas City Royals,Angel Stadium,9.0
2026-08-13T22:47:43Z,2026-08-14,Los Angeles Dodgers,Milwaukee Brewers,Dodger Stadium,8.0
2026-08-13T22:47:43Z,2026-08-14,San Francisco Giants,Colorado Rockies,Oracle Park,8.0
2026-08-14T10:51:09Z,2026-08-14,Detroit Tigers,Chicago White Sox,Comerica Park,8.5
2026-08-14T10:51:09Z,2026-08-14,Atlanta Braves,Arizona Diamondbacks,Truist Park,8.0
2026-08-14T10:51:09Z,2026-08-14,Athletics,Texas Rangers,Sutter Health Park,9.5
2026-08-14T10:51:09Z,2026-08-15,Los Angeles Dodgers,Milwaukee Brewers,Dodger Stadium,8.0
2026-08-14T22:27:30Z,2026-08-15,Detroit Tigers,Chicago White Sox,Comerica Park,8.0
2026-08-14T22:27:30Z,2026-08-15,Chicago Cubs,St. Louis Cardinals,Wrigley Field,9.0
2026-08-14T22:27:30Z,2026-08-15,San Francisco Giants,Colorado Rockies,Oracle Park,8.0
2026-08-14T22:27:30Z,2026-08-15,Cincinnati Reds,Miami Marlins,Great American Ball Park,9.5
2026-08-14T22:27:30Z,2026-08-15,Minnesota Twins,Philadelphia Phillies,Target Field,8.0
2026-08-14T22:27:30Z,2026-08-15,Pittsburgh Pirates,Boston Red Sox,PNC Park,7.5
2026-08-14T22:27:30Z,2026-08-15,Atlanta Braves,Arizona Diamondbacks,Truist Park,9.0
2026-08-14T22:27:30Z,2026-08-15,Los Angeles Angels,Kansas City Royals,Angel Stadium,8.5
2026-08-14T22:27:30Z,2026-08-15,Athletics,Texas Rangers,Sutter Health Park,9.5
2026-08-15T10:14:19Z,2026-08-15,Toronto Blue Jays,New York Yankees,Rogers Centre,7.5
2026-08-15T10:14:19Z,2026-08-15,New York Mets,Washington Nationals,Citi Field,8.5
2026-08-15T10:14:19Z,2026-08-15,Cleveland Guardians,San Diego Padres,Progressive Field,8.0
2026-08-15T10:14:19Z,2026-08-16,Athletics,Texas Rangers,Sutter Health Park,9.5
2026-08-15T10:14:19Z,2026-08-16,Los Angeles Angels,Kansas City Royals,Angel Stadium,8.0
2026-08-15T22:26:13Z,2026-08-16,Pittsburgh Pirates,Boston Red Sox,PNC Park,8.0
2026-08-15T22:26:13Z,2026-08-16,Atlanta Braves,Arizona Diamondbacks,Truist Park,8.5
2026-08-15T22:26:13Z,2026-08-16,Toronto Blue Jays,New York Yankees,Rogers Centre,7.5
2026-08-15T22:26:13Z,2026-08-16,New York Mets,Washington Nationals,Citi Field,8.5
2026-08-15T22:26:13Z,2026-08-16,Cleveland Guardians,San Diego Padres,Progressive Field,8.0
2026-08-15T22:26:13Z,2026-08-16,Cincinnati Reds,Miami Marlins,Great American Ball Park,9.0
2026-08-15T22:26:13Z,2026-08-16,Minnesota Twins,Philadelphia Phillies,Target Field,9.5
2026-08-15T22:26:13Z,2026-08-16,San Francisco Giants,Colorado Rockies,Oracle Park,8.5
2026-08-15T22:26:13Z,2026-08-16,Los Angeles Dodgers,Milwaukee Brewers,Dodger Stadium,7.5
2026-08-16T10:15:20Z,2026-08-16,Detroit Tigers,Chicago White Sox,Comerica Park,8.0
2026-08-16T10:15:20Z,2026-08-16,Chicago Cubs,St. Louis Cardinals,Wrigley Field,9.0
2026-08-16T22:25:05Z,2026-08-17,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,8.0
2026-08-16T22:25:05Z,2026-08-17,Pittsburgh Pirates,Detroit Tigers,PNC Park,8.0
2026-08-16T22:25:05Z,2026-08-17,New York Mets,San Diego Padres,Citi Field,8.0
2026-08-16T22:25:05Z,2026-08-17,Minnesota Twins,Atlanta Braves,Target Field,8.5
2026-08-16T22:25:05Z,2026-08-17,Chicago Cubs,Chicago White Sox,Wrigley Field,8.5
2026-08-17T10:24:15Z,2026-08-17,Boston Red Sox,Arizona Diamondbacks,Fenway Park,9.0
2026-08-17T10:24:15Z,2026-08-17,Kansas City Royals,Athletics,Kauffman Stadium,9.0
2026-08-17T10:24:15Z,2026-08-17,Colorado Rockies,Los Angeles Dodgers,Coors Field,11.0
2026-08-17T22:28:07Z,2026-08-17,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,9.0
2026-08-17T22:28:07Z,2026-08-18,Baltimore Orioles,New York Yankees,Oriole Park at Camden Yards,8.5
2026-08-17T22:28:07Z,2026-08-18,Pittsburgh Pirates,Detroit Tigers,PNC Park,8.0
2026-08-17T22:28:07Z,2026-08-18,Cleveland Guardians,San Francisco Giants,Progressive Field,8.0
2026-08-17T22:28:07Z,2026-08-18,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,8.75
2026-08-17T22:28:07Z,2026-08-18,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,8.0
2026-08-17T22:28:07Z,2026-08-18,Boston Red Sox,Arizona Diamondbacks,Fenway Park,8.5
2026-08-17T22:28:07Z,2026-08-18,New York Mets,San Diego Padres,Citi Field,8.5
2026-08-17T22:28:07Z,2026-08-18,Kansas City Royals,Athletics,Kauffman Stadium,10.0
2026-08-17T22:28:07Z,2026-08-18,Minnesota Twins,Atlanta Braves,Target Field,8.5
2026-08-17T22:28:07Z,2026-08-18,Milwaukee Brewers,Seattle Mariners,American Family Field,8.0
2026-08-17T22:28:07Z,2026-08-18,Chicago Cubs,Chicago White Sox,Wrigley Field,10.0
2026-08-17T22:28:07Z,2026-08-18,Colorado Rockies,Los Angeles Dodgers,Coors Field,12.0
2026-08-18T10:19:51Z,2026-08-19,Chicago Cubs,Chicago White Sox,Wrigley Field,8.5
2026-08-18T22:27:17Z,2026-08-19,Pittsburgh Pirates,Detroit Tigers,PNC Park,8.0
2026-08-18T22:27:17Z,2026-08-19,New York Mets,San Diego Padres,Citi Field,8.5
2026-08-18T22:27:17Z,2026-08-19,Minnesota Twins,Atlanta Braves,Target Field,8.5
2026-08-18T22:27:17Z,2026-08-19,Boston Red Sox,Arizona Diamondbacks,Fenway Park,8.5
2026-08-18T22:27:17Z,2026-08-19,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,8.5
2026-08-18T22:27:17Z,2026-08-19,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,8.5
2026-08-18T22:27:17Z,2026-08-19,Milwaukee Brewers,Seattle Mariners,American Family Field,7.5
2026-08-18T22:27:17Z,2026-08-19,Colorado Rockies,Los Angeles Dodgers,Coors Field,11.5
2026-08-19T10:20:17Z,2026-08-19,Baltimore Orioles,New York Yankees,Oriole Park at Camden Yards,9.0
2026-08-19T10:20:17Z,2026-08-19,Cleveland Guardians,San Francisco Giants,Progressive Field,7.0
2026-08-19T10:20:17Z,2026-08-19,Kansas City Royals,Athletics,Kauffman Stadium,8.5
2026-08-19T22:28:07Z,2026-08-20,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,9.0
2026-08-19T22:28:07Z,2026-08-20,Cleveland Guardians,San Francisco Giants,Progressive Field,7.5
2026-08-19T22:28:07Z,2026-08-20,Kansas City Royals,Athletics,Kauffman Stadium,8.5
2026-08-19T22:28:07Z,2026-08-20,Chicago White Sox,Atlanta Braves,Guaranteed Rate Field,8.5
2026-08-19T22:28:07Z,2026-08-20,Milwaukee Brewers,Seattle Mariners,American Family Field,8.0
2026-08-19T22:28:07Z,2026-08-20,Baltimore Orioles,New York Yankees,Oriole Park at Camden Yards,8.0
2026-08-20T22:31:02Z,2026-08-21,Milwaukee Brewers,Atlanta Braves,American Family Field,6.5
2026-08-20T22:31:02Z,2026-08-21,New York Yankees,Toronto Blue Jays,Yankee Stadium,7.5
2026-08-20T22:31:02Z,2026-08-21,Boston Red Sox,San Francisco Giants,Fenway Park,8.0
2026-08-20T22:31:02Z,2026-08-21,Baltimore Orioles,Tampa Bay Rays,Oriole Park at Camden Yards,8.5
2026-08-20T22:31:02Z,2026-08-21,Chicago White Sox,New York Mets,Guaranteed Rate Field,8.0
2026-08-20T22:31:02Z,2026-08-21,Kansas City Royals,Detroit Tigers,Kauffman Stadium,8.5
2026-08-20T22:31:02Z,2026-08-21,Colorado Rockies,Cleveland Guardians,Coors Field,11.0
2026-08-20T22:31:02Z,2026-08-21,Los Angeles Dodgers,Pittsburgh Pirates,Dodger Stadium,8.0
2026-08-20T22:31:02Z,2026-08-21,Seattle Mariners,Chicago Cubs,T-Mobile Park,8.0
2026-08-21T10:21:39Z,2026-08-21,Philadelphia Phillies,St. Louis Cardinals,Citizens Bank Park,8.0
2026-08-21T10:21:39Z,2026-08-21,San Diego Padres,Minnesota Twins,Petco Park,8.0
2026-08-21T10:21:39Z,2026-08-22,Kansas City Royals,Detroit Tigers,Kauffman Stadium,8.5
2026-08-21T10:21:39Z,2026-08-22,Los Angeles Dodgers,Pittsburgh Pirates,Dodger Stadium,8.0
2026-09-01T01:06:38Z,2026-08-31,Los Angeles Angels,New York Yankees,Angel Stadium,8.0
2026-09-01T01:06:38Z,2026-09-01,Cincinnati Reds,San Diego Padres,Great American Ball Park,9.5
2026-09-01T01:06:38Z,2026-09-01,Pittsburgh Pirates,San Francisco Giants,PNC Park,7.5
2026-09-01T01:06:38Z,2026-09-01,Cleveland Guardians,Toronto Blue Jays,Progressive Field,8.0
2026-09-01T01:06:38Z,2026-09-01,Boston Red Sox,Seattle Mariners,Fenway Park,8.0
2026-09-01T01:06:38Z,2026-09-01,Washington Nationals,Atlanta Braves,Nationals Park,10.0
2026-09-01T01:06:38Z,2026-09-01,Minnesota Twins,Detroit Tigers,Target Field,8.5
2026-09-01T01:06:38Z,2026-09-01,Kansas City Royals,Miami Marlins,Kauffman Stadium,9.5
2026-09-01T01:06:38Z,2026-09-01,Chicago Cubs,Milwaukee Brewers,Wrigley Field,10.0
2026-09-01T01:06:38Z,2026-09-01,Colorado Rockies,Baltimore Orioles,Coors Field,11.0
2026-09-01T01:06:38Z,2026-09-01,Los Angeles Angels,New York Yankees,Angel Stadium,7.5
2026-09-01T01:06:38Z,2026-09-01,Los Angeles Dodgers,St. Louis Cardinals,Dodger Stadium,9.0
2026-09-01T14:25:23Z,2026-09-02,Colorado Rockies,Baltimore Orioles,Coors Field,11.0
2026-09-01T23:52:59Z,2026-09-02,Cincinnati Reds,San Diego Padres,Great American Ball Park,9.5
2026-09-01T23:52:59Z,2026-09-02,Washington Nationals,Atlanta Braves,Nationals Park,9.0
2026-09-01T23:52:59Z,2026-09-02,Boston Red Sox,Seattle Mariners,Fenway Park,8.5
2026-09-01T23:52:59Z,2026-09-02,Pittsburgh Pirates,San Francisco Giants,PNC Park,8.0
2026-09-01T23:52:59Z,2026-09-02,Cleveland Guardians,Toronto Blue Jays,Progressive Field,7.0
2026-09-01T23:52:59Z,2026-09-02,Minnesota Twins,Detroit Tigers,Target Field,9.0
2026-09-01T23:52:59Z,2026-09-02,Kansas City Royals,Miami Marlins,Kauffman Stadium,8.5
2026-09-01T23:52:59Z,2026-09-02,Chicago Cubs,Milwaukee Brewers,Wrigley Field,8.5
2026-09-01T23:52:59Z,2026-09-02,Los Angeles Angels,New York Yankees,Angel Stadium,7.0
2026-09-02T13:58:59Z,2026-09-02,Los Angeles Dodgers,St. Louis Cardinals,Dodger Stadium,8.0
